Employee ID	Employee Name	Manager Name	Business Unit Name	Location Name	Country	Age	Attrition	Attrition Reason	IsVoluntary	Join Date	AttritionDate	BusinessTravel	DailyRate	Department	DistanceFromHome	Education	EducationField	EmployeeCount	EmployeeNumber	EnvironmentSatisfaction	Gender	HourlyRate	JobInvolvement	JobLevel	JobRole	JobSatisfaction	MaritalStatus	MonthlyIncome	MonthlyRate	NumCompaniesWorked	Over18	OverTime	PercentSalaryHike	PerformanceRating	RelationshipSatisfaction	StandardHours	StockOptionLevel	TotalWorkingYears	TrainingTimesLastYear	WorkLifeBalance	YearsAtCompany	YearsInCurrentRole	YearsSinceLastPromotion	YearsWithCurrManager
618	Employee 237					46	Yes	Low motivation and job satisfaction	Yes	12/19/2018	12/19/2020	Travel_Rarely	1456	Sales	13	5	Marketing	1	1733	2	Male	96	2	2	Sales Executive	1	Divorced	6134	8658	5	Y	Yes	13	3	2	80	3	16	3	3	2	2	2	2
798	CRM Student49	Instructor01, CRM	US1 Business Unit	~No Value~	~No Value~	30	No			5/7/2021		Non-Travel	1400	Research & Development	3	3	Life Sciences	1	562	3	Male	53	3	1	Laboratory Technician	4	Married	2097	16734	4	Y	No	15	3	3	80	1	9	3	1	5	3	1	4
87	Giovanni Greco	Rizzo, Alda	Italy Business Unit	Milan	Italy	25	No			5/7/2023		Travel_Rarely	882	Research & Development	19	1	Medical	1	1358	4	Male	67	3	1	Laboratory Technician	4	Married	3669	9075	3	Y	No	11	3	3	80	3	7	6	2	3	2	1	2
1049	Employee 377					32	No			5/7/2021		Travel_Rarely	1206	Research & Development	9	2	Life Sciences	1	1940	2	Male	71	3	1	Research Scientist	4	Divorced	4771	14293	2	Y	No	19	3	4	80	2	10	0	4	5	2	0	3
1164	Aguie Andriuzzi	Sherer, Thibaut	US1 Business Unit	Bistro OH	United States	35	No			5/7/2022		Non-Travel	1097	Research & Development	11	2	Medical	1	70	3	Male	79	2	3	Healthcare Representative	1	Married	9884	8302	2	Y	Yes	13	3	3	80	1	10	3	3	4	0	2	3
106	Alex Fischer	Rohrbach, Anja	Germany Business Unit	Global Ops	Germany	37	Yes	Personal Reason	No	10/24/2018	10/24/2021	Travel_Rarely	807	Human Resources	6	4	Human Resources	1	133	3	Male	63	3	1	Human Resources	1	Divorced	2073	23648	4	Y	Yes	22	4	4	80	0	7	3	3	3	2	0	2
357	CRM Student34	Instructor01, CRM	US1 Business Unit	~No Value~	~No Value~	28	No			5/7/2016		Travel_Rarely	1300	Research & Development	17	2	Medical	1	536	3	Male	79	3	2	Laboratory Technician	1	Divorced	4558	13535	1	Y	No	12	3	4	80	1	10	2	3	10	0	1	8
1285	CRM Student44	Instructor01, CRM	US1 Business Unit	~No Value~	~No Value~	24	Yes	No career growth opportunities	Yes	3/16/2018	3/16/2023	Travel_Rarely	1448	Sales	1	1	Technical Degree	1	554	1	Female	62	3	1	Sales Representative	2	Single	3202	21972	1	Y	Yes	16	3	2	80	0	6	4	3	5	3	1	4
539	Employee 295					43	No			5/7/2023		Travel_Rarely	447	Research & Development	5	3	Life Sciences	1	1814	2	Male	85	4	2	Healthcare Representative	2	Single	6870	15530	3	Y	No	12	3	1	80	0	11	3	1	3	2	1	2
1063	Clara CostManager	Schoen, Jeffry	Supremo US Business Unit	 	United States	38	No			5/7/2025		Travel_Rarely	168	Research & Development	1	3	Life Sciences	1	743	3	Female	81	3	3	Manufacturing Director	3	Single	7861	15397	4	Y	Yes	14	3	4	80	0	10	4	4	1	0	0	0
